"","Subject","System","ashby","sloutsky","tt","sloutsky.t","tt.t","ashby.cs"
"53",8054,"associative",-0.636175688497051,0.678906765870263,1.01945125873713,1.03410089560062,1.65462998352178,-0.658862092849034
"54",8054,"hypothesis-testing",1.53624391770508,-0.378730978926002,0.232024876304917,-0.945967668827921,-0.0443127554256166,1.53126689869903
"55",8055,"associative",-0.715654454577618,0.678906765870263,-1.08035242774877,1.03410089560062,-1.29003426061973,-0.738988763271524
"56",8055,"hypothesis-testing",-1.48394919335642,0.678906765870263,-0.817876966938034,1.03410089560062,-1.12588131642622,-1.5135465773556
"57",8056,"associative",-0.821626142685039,0.290396401593369,0.756975797926392,-0.0185275600706761,0.989989794864697,-0.845824323834844
"58",8056,"hypothesis-testing",1.1123571652754,-0.186461637795123,0.494500337115654,-0.763528299880345,0.42407140882664,1.10392465644575
"59",8057,"associative",-0.874611986738749,0.290396401593369,0.756975797926392,-0.0185275600706761,0.989989794864697,-0.899242104116504
"60",8057,"hypothesis-testing",1.53624391770508,0.290396401593369,0.756975797926392,-0.0185275600706761,0.989989794864697,1.53126689869903
"61",8058,"associative",-1.27200581714158,0.290396401593369,0.494500337115654,-0.0185275600706761,0.42407140882664,-1.29987545622896
"62",8058,"hypothesis-testing",0.635484568792003,0.678906765870263,-0.030450584505821,1.03410089560062,-0.416576644216606,0.623164633910809
"63",8059,"associative",-1.03356951889988,-0.26319739385518,0.494500337115654,-0.841763095840071,0.42407140882664,-1.05949544496148
"64",8059,"hypothesis-testing",-0.715654454577618,0.290396401593369,0.494500337115654,-0.0185275600706761,0.42407140882664,-0.738988763271524
"65",8060,"associative",-1.43096334930271,-2.10388061998205,-2.91768065342394,-1.68153203949195,-2.03878260170067,-1.46012879707394
"66",8060,"hypothesis-testing",0.741456256899425,-2.92629820194231,-0.292926045316559,-1.83317371623237,-0.703705158165666,0.730000194474129
"67",8061,"associative",-1.35148458322215,-0.18541180590619,1.01945125873713,-0.762400919523716,1.65462998352178,-1.38000212665145
"68",8061,"hypothesis-testing",-0.874611986738749,-0.615570978221626,-0.030450584505821,-1.12067751514522,-0.416576644216606,-0.899242104116504
"69",8062,"associative",-0.477218156335919,0.290396401593369,0.494500337115654,-0.0185275600706761,0.42407140882664,-0.498608752004053
"70",8062,"hypothesis-testing",1.3507934635171,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,1.34430466771322
"71",8066,"associative",-0.212288936067366,-0.186461637795123,-0.817876966938034,-0.763528299880345,-1.12588131642622,-0.231519850595753
"72",8066,"hypothesis-testing",1.61572268378565,0.0258007472573115,-1.34282788855951,-0.496310669139629,-1.43329603778482,1.61139356912152
"73",8067,"associative",-0.0533314039062345,0.290396401593369,0.494500337115654,-0.0185275600706761,0.42407140882664,-0.0712665097507723
"74",8067,"hypothesis-testing",1.13885008730225,0.290396401593369,-1.60530334937025,-0.0185275600706761,-1.56026016443486,1.13063354658658
"75",8069,"associative",-0.556696922416486,0.678906765870263,-0.555401506127297,1.03410089560062,-0.934019015523857,-0.578735422426544
"76",8069,"hypothesis-testing",1.72169437189307,-0.18541180590619,1.01945125873713,-0.762400919523716,1.65462998352178,1.71822912968484
"77",8071,"associative",-0.980583674846171,0.0258007472573115,-2.6552051926132,-0.496310669139629,-1.95846097091071,-1.00607766467982
"78",8071,"hypothesis-testing",0.185104894335463,0.678906765870263,0.756975797926392,1.03410089560062,0.989989794864697,0.169113501516698
"79",8072,"associative",-0.768640298631328,0.290396401593369,1.01945125873713,-0.0185275600706761,1.65462998352178,-0.792406543553184
