Experiment,Unnamed: 21,Unnamed: 24,Unnamed: 30,cat1,cat2,cat3,correct,date,expName,expTrials.thisIndex,expTrials.thisN,expTrials.thisRepN,expTrials.thisTrialN,frameRate,img1,img2,img3,participant,pracTrials.thisIndex,pracTrials.thisN,pracTrials.thisRepN,pracTrials.thisTrialN,readyTest.keys,readyTest.rt,resp.corr,resp.keys,resp.rt,session,targ,targ_img,word1,word2,word3
thematic,,,,tax,them,dist,down,2018_Oct_31_0844,taxthemexp_tax_img,0.0,7.0,0.0,7.0,59.8942430582,stim/peeler.jpg,stim/pasta.jpg,stim/receipt.jpg,8054,,,,,,,1.0,down,2.65246701241,1,strainer,stim/strainer.jpg,peeler,pasta,receipt
thematic,,,,dist,tax,them,right,2018_Oct_31_0844,taxthemexp_tax_img,19.0,8.0,0.0,8.0,59.8942430582,stim/kayak.jpg,stim/armyguy.jpg,stim/dollhouse.jpg,8054,,,,,,,1.0,right,1.23516607285,1,doll,stim/doll.jpg,kayak,army guy,dollhouse
thematic,,,,them,dist,tax,left,2018_Oct_31_0844,taxthemexp_tax_img,13.0,9.0,0.0,9.0,59.8942430582,stim/binder.jpg,stim/balloon.jpg,stim/purse.jpg,8054,,,,,,,1.0,left,1.60074615479,1,backpack,stim/backpack.jpg,binder,balloon,purse
thematic,,,,dist,them,tax,down,2018_Oct_31_0844,taxthemexp_tax_img,17.0,10.0,0.0,10.0,59.8942430582,stim/lightswitch.jpg,stim/file.jpg,stim/dresser.jpg,8054,,,,,,,1.0,down,1.1015090942399999,1,file cabinet,stim/filecabinet.jpg,lightswitch,file,dresser
thematic,,,,dist,them,tax,down,2018_Oct_31_0844,taxthemexp_tax_img,1.0,11.0,0.0,11.0,59.8942430582,stim/thimble.jpg,stim/log.jpg,stim/shovel.jpg,8054,,,,,,,1.0,down,1.26691389084,1,axe,stim/axe.jpg,thimble,log,shovel
thematic,,,,dist,tax,them,right,2018_Oct_31_0844,taxthemexp_tax_img,22.0,12.0,0.0,12.0,59.8942430582,stim/flashlight.jpg,stim/hair.jpg,stim/toothbrush.jpg,8054,,,,,,,1.0,right,1.3531990051299998,1,teeth,stim/teeth.jpg,flashlight,hair,toothbrush
thematic,,,,tax,them,dist,down,2018_Oct_31_0844,taxthemexp_tax_img,2.0,13.0,0.0,13.0,59.8942430582,stim/stool.jpg,stim/lightbulb.jpg,stim/tire.jpg,8054,,,,,,,1.0,down,2.23530507088,1,ladder,stim/ladder.jpg,stool,lightbulb,tire
thematic,,,,dist,them,tax,down,2018_Oct_31_0844,taxthemexp_tax_img,14.0,14.0,0.0,14.0,59.8942430582,stim/fishhook.jpg,stim/rug.jpg,stim/duster.jpg,8054,,,,,,,1.0,down,1.05061793327,1,vacuum,stim/vacuum.jpg,fishhook,rug,duster
thematic,,,,tax,dist,them,right,2018_Oct_31_0844,taxthemexp_tax_img,23.0,15.0,0.0,15.0,59.8942430582,stim/croissant.jpg,stim/crib.jpg,stim/stove.jpg,8054,,,,,,,1.0,right,1.31839704514,1,pie,stim/pie.jpg,croissant,crib,stove
thematic,,,,them,dist,tax,left,2018_Oct_31_0844,taxthemexp_tax_img,9.0,16.0,0.0,16.0,59.8942430582,stim/birdcage.jpg,stim/skates.jpg,stim/butterfly.jpg,8054,,,,,,,1.0,left,1.06801104546,1,parrot,stim/parrot.jpg,bird cage,skates,butterfly
thematic,,,,tax,them,dist,down,2018_Oct_31_0844,taxthemexp_tax_img,5.0,17.0,0.0,17.0,59.8942430582,stim/fridge.jpg,stim/dietcoke.jpg,stim/camera.jpg,8054,,,,,,,1.0,down,1.55124497414,1,cooler,stim/cooler.jpg,fridge,diet coke,camera
thematic,,,,them,tax,dist,left,2018_Oct_31_0844,taxthemexp_tax_img,6.0,18.0,0.0,18.0,59.8942430582,stim/cork.jpg,stim/bottleopener.jpg,stim/globe.jpg,8054,,,,,,,1.0,left,2.76750087738,1,corkscrew,stim/corkscrew2.jpg,cork,bottle opener,globe
thematic,,,,them,dist,tax,left,2018_Oct_31_0844,taxthemexp_tax_img,11.0,19.0,0.0,19.0,59.8942430582,stim/hanger.jpg,stim/scissors.jpg,stim/skirt.jpg,8054,,,,,,,1.0,left,2.0672528743700003,1,suit,stim/suit.jpg,hanger,scissors,skirt
thematic,,,,them,dist,tax,left,2018_Oct_31_0844,taxthemexp_tax_img,8.0,20.0,0.0,20.0,59.8942430582,stim/cashregister.jpg,stim/lunchbox.jpg,stim/coin.jpg,8054,,,,,,,1.0,left,1.61921715736,1,money,stim/money.jpg,cash register,lunchbox,coin
thematic,,,,them,dist,tax,left,2018_Oct_31_0844,taxthemexp_tax_img,10.0,21.0,0.0,21.0,59.8942430582,stim/lighter.jpg,stim/clock.jpg,stim/lantern.jpg,8054,,,,,,,1.0,left,2.20156598091,1,candle,stim/candle.jpg,lighter,clock,lantern
thematic,,,,them,dist,tax,left,2018_Oct_31_0844,taxthemexp_tax_img,12.0,22.0,0.0,22.0,59.8942430582,stim/cup.jpg,stim/button.jpg,stim/stroller.jpg,8054,,,,,,,1.0,left,1.7331829071,1,highchair,stim/highchair.jpg,cup,button,stroller
thematic,,,,tax,dist,them,right,2018_Oct_31_0844,taxthemexp_tax_img,20.0,23.0,0.0,23.0,59.8942430582,stim/skateboard.jpg,stim/lawnmower.jpg,stim/skatehelmet.jpg,8054,,,,,,,1.0,right,1.18543696404,1,rollerblades,stim/rollerblades.jpg,skateboard,lawnmower,helmet
taxonomic,,,,dist,tax,them,down,2018_Nov_05_0925,taxthemexp_tax_img,,,,,60.1398573323,stim/yarn.jpg,stim/train.jpg,stim/stopsign.jpg,8066,5.0,0.0,0.0,0.0,,,0.0,left,2.7026951313,1,car,stim/car.jpg,yarn,train,stopsign
taxonomic,,,,tax,them,dist,left,2018_Nov_05_0925,taxthemexp_tax_img,,,,,60.1398573323,stim/pants.jpg,stim/shoe.jpg,stim/cake.jpg,8066,3.0,1.0,0.0,1.0,,,0.0,down,4.21989583969,1,sock,stim/sock.jpg,pants,shoe,cake
taxonomic,,,,them,dist,tax,right,2018_Nov_05_0925,taxthemexp_tax_img,,,,,60.1398573323,stim/tree.jpg,stim/guitar.jpg,stim/turtle.jpg,8066,1.0,2.0,0.0,2.0,,,0.0,down,2.83652305603,1,bird,stim/cardinal.jpg,tree,guitar,turtle
